partito,count
PARTITO POPOLARE ITALIANO,1054
FRONTE DELL'UOMO QUALUNQUE,47
PARTITO SOCIALISTA ITALIANO,545
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,247
PARTITO COMUNISTA ITALIANO,1032
PARTITO REPUBBLICANO ITALIANO,132
SCELTA CIVICA,93
PARTITO LIBERALE ITALIANO,138
MISTO,832
PARTITO NAZIONALE MONARCHICO,86
PARTITO MONARCHICO POPOLARE,27
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE,223
PSI-PSDI UNIFICATI,126
PARTITO SOCIALISTA ITALIANO DI UNITÀ PROLETARIA,37
DEMOCRAZIA CRISTIANA,551
DEMOCRAZIA NAZIONALE - COSTITUENTE DI DESTRA,17
DEMOCRAZIA PROLETARIA,15
PARTITO DI UNITÀ PROLETARIA PER IL COMUNISMO,6
PARTITO DEMOCRATICO DEL LAVORO,13
BLOCCO NAZIONALE DELLA LIBERTÀ,10
SINISTRA INDIPENDENTE,23
PARTITO RADICALE,49
PARTITO DELLA RIFONDAZIONE COMUNISTA - SINISTRA EUROPEA,123
PARTITO D'AZIONE,10
FEDERAZIONE DEI VERDI,42
CENTRO DEMOCRATICO,55
IL POPOLO DELLA LIBERTÀ,323
FRATELLI D'ITALIA,101
MOVIMENTO 5 STELLE,179
ITALIA VIVA,36
LEGA NORD,444
CENTRO CRISTIANO DEMOCRATICO,152
ALLEANZA NAZIONALE,262
FORZA ITALIA,412
DEMOCRAZIA CRISTIANA PER LE AUTONOMIE,6
NUOVO CENTRODESTRA,34
PARTITO DEMOCRATICO DELLA SINISTRA,135
L'ULIVO,683
POPOLARI UDEUR,39
UNIONE DI CENTRO (2002),43
ITALIA DEI VALORI,37
PARTITO DEMOCRATICO,391
ROSA NEL PUGNO,20
SINISTRA ECOLOGIA LIBERTÀ,45
FUTURO E LIBERTÀ PER L'ITALIA,33
PARTITO DEI COMUNISTI ITALIANI,15
POPOLO E TERRITORIO,29
LIBERI E UGUALI,64
RINNOVAMENTO ITALIANO,31
CORAGGIO ITALIA,24
